         1870596 function calls (1843851 primitive calls) in 34.555 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    355/1    0.003    0.000   34.555   34.555 {built-in method builtins.exec}
        1    0.000    0.000   34.555   34.555 <string>:1(<module>)
        1    0.000    0.000   34.555   34.555 <frozen runpy>:201(run_module)
        1    0.000    0.000   34.555   34.555 <frozen runpy>:65(_run_code)
        1    0.000    0.000   34.555   34.555 chromalyze.py:1(<module>)
        1    0.019    0.019   33.735   33.735 chromalyze.py:6(get_colors)
      430   29.200    0.068   29.200    0.068 {method 'set' of 'cv2.VideoCapture' objects}
      430    0.002    0.000    3.999    0.009 {method 'mean' of 'numpy.ndarray' objects}
      430    0.012    0.000    3.996    0.009 _methods.py:101(_mean)
     2591    3.973    0.002    3.973    0.002 {method 'reduce' of 'numpy.ufunc' objects}
       42    0.001    0.000    0.601    0.014 __init__.py:1(<module>)
   428/16    0.001    0.000    0.536    0.034 <frozen importlib._bootstrap>:1165(_find_and_load)
   424/16    0.001    0.000    0.536    0.034 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
   396/17    0.001    0.000    0.533    0.031 <frozen importlib._bootstrap>:666(_load_unlocked)
  1006/31    0.000    0.000    0.532    0.017 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   338/16    0.001    0.000    0.484    0.030 <frozen importlib._bootstrap_external>:934(exec_module)
      430    0.468    0.001    0.468    0.001 {method 'read' of 'cv2.VideoCapture' objects}
   461/20    0.000    0.000    0.452    0.023 {built-in method builtins.__import__}
   510/99    0.001    0.000    0.411    0.004 <frozen importlib._bootstrap>:1207(_handle_fromlist)
        1    0.000    0.000    0.303    0.303 chromalyze.py:32(make_plot)
        1    0.000    0.000    0.285    0.285 pyplot.py:1(<module>)
1262/1166    0.012    0.000    0.223    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.192    0.192 pyplot.py:3415(hist)
      103    0.000    0.000    0.164    0.002 artist.py:159(_update_set_signature_and_docstring)
      102    0.000    0.000    0.162    0.002 artist.py:126(__init_subclass__)
  396/256    0.000    0.000    0.140    0.001 <frozen importlib._bootstrap>:566(module_from_spec)
        1    0.000    0.000    0.136    0.136 figure.py:1(<module>)
